# time_s variant_mbps reno_mbps
2.000 188.784 177.594
3.000 201.214 184.406
4.000 203.114 182.506
5.000 204.921 180.699
6.000 205.975 179.645
7.000 208.188 177.432
8.000 210.574 175.034
9.000 211.176 174.443
10.000 211.338 174.281
11.000 213.470 172.150
12.000 214.466 171.154
13.000 213.470 172.150
14.000 151.194 234.425
15.000 155.006 230.614
16.000 159.720 225.900
17.000 163.311 222.309
18.000 166.659 218.961
19.000 170.389 215.231
20.000 172.741 212.879
21.000 176.598 209.022
22.000 177.467 208.153
23.000 181.834 203.786
24.000 183.224 202.396
25.000 185.587 200.033
26.000 188.240 197.380
27.000 189.491 196.117
28.000 194.078 191.541
29.000 196.870 188.750
30.000 202.060 183.560
31.000 204.492 181.127
32.000 206.763 178.857
33.000 211.686 173.934
34.000 213.134 172.486
35.000 214.501 171.119
36.000 216.818 168.802
37.000 221.845 163.775
38.000 220.559 165.060
39.000 225.286 160.334
40.000 224.000 161.620
41.000 225.691 159.929
42.000 226.641 158.979
43.000 230.776 154.843
44.000 228.321 157.299
45.000 232.016 153.604
46.000 231.228 154.380
47.000 232.178 153.442
48.000 233.429 152.191
49.000 291.465 94.155
50.000 290.202 95.417
51.000 290.121 95.498
52.000 288.268 97.352
53.000 288.604 97.016
54.000 286.287 99.333
55.000 288.314 97.306
56.000 289.044 96.576
57.000 285.522 100.097
58.000 287.747 97.873
59.000 285.754 99.866
60.000 284.665 100.955
61.000 283.611 102.009
62.000 283.623 101.997
63.000 281.850 103.769
64.000 282.024 103.596
65.000 281.989 103.619
66.000 279.812 105.808
67.000 279.591 106.028
68.000 281.410 104.210
69.000 277.796 107.824
70.000 278.885 106.735
71.000 280.379 105.241
72.000 277.981 107.639
73.000 279.684 105.936
74.000 277.379 108.241
75.000 279.522 106.098
76.000 277.078 108.542
77.000 279.557 106.063
78.000 278.282 107.337
79.000 278.676 106.943
80.000 276.580 109.040
81.000 275.085 110.535
82.000 276.336 109.283
83.000 274.888 110.731
84.000 276.151 109.469
85.000 273.776 111.832
86.000 275.908 109.712
87.000 272.004 113.616
88.000 275.618 110.002
89.000 273.023 112.596
90.000 274.413 111.206
91.000 273.440 112.179
92.000 275.514 110.106
93.000 271.135 114.485
94.000 275.583 110.036
95.000 272.085 113.535
96.000 273.799 111.820
97.000 273.846 111.774
98.000 274.738 110.882
99.000 273.579 112.040
100.000 271.529 114.091
101.000 273.359 112.261
102.000 270.463 115.157
103.000 271.900 113.720
104.000 274.020 111.589
105.000 270.220 115.400
106.000 272.595 113.025
107.000 269.293 116.327
108.000 272.850 112.770
109.000 271.378 114.241
110.000 270.672 114.948
111.000 271.529 114.091
112.000 271.124 114.496
113.000 272.653 112.967
114.000 271.019 114.601
115.000 271.031 114.589
116.000 271.564 114.056
117.000 268.251 117.369
118.000 273.324 112.295
119.000 271.066 114.554
