# time_s variant_mbps reno_mbps
2.000 173.702 196.499
3.000 171.571 214.049
4.000 177.351 208.269
5.000 183.004 202.604
6.000 185.147 200.473
7.000 186.780 198.839
8.000 186.989 198.631
9.000 186.607 199.013
10.000 185.668 199.951
11.000 184.939 200.681
12.000 184.359 201.260
13.000 184.498 201.121
14.000 186.387 199.233
15.000 189.028 196.592
16.000 200.913 184.707
17.000 231.182 154.438
18.000 239.418 146.202
19.000 241.086 144.534
20.000 244.121 141.499
21.000 244.364 141.255
22.000 241.109 144.510
23.000 241.828 143.792
24.000 239.186 146.422
25.000 237.495 148.125
26.000 236.221 149.399
27.000 235.642 149.978
28.000 233.418 152.202
29.000 236.163 149.457
30.000 235.619 150.001
31.000 239.395 146.225
32.000 243.102 142.518
33.000 259.458 126.161
34.000 281.225 104.395
35.000 284.839 100.781
36.000 287.052 98.568
37.000 287.990 97.630
38.000 286.600 99.020
39.000 286.148 99.472
40.000 284.839 100.781
41.000 282.789 102.831
42.000 281.109 104.511
43.000 278.781 106.839
44.000 277.807 107.801
45.000 276.151 109.469
46.000 275.537 110.083
47.000 275.525 110.094
48.000 274.228 111.392
49.000 291.152 94.468
50.000 304.601 81.018
51.000 306.652 78.968
52.000 307.405 78.215
53.000 308.053 77.566
54.000 306.385 79.235
55.000 306.814 78.806
56.000 304.381 81.239
57.000 301.752 83.868
58.000 300.894 84.725
59.000 298.358 87.262
60.000 297.558 88.062
61.000 294.882 90.737
62.000 292.647 92.973
63.000 293.863 91.745
64.000 309.316 76.304
65.000 332.762 52.858
66.000 332.357 53.263
67.000 338.913 46.707
68.000 347.265 38.355
69.000 346.002 39.617
70.000 345.180 40.440
71.000 344.022 41.598
72.000 341.299 44.320
73.000 342.342 43.278
74.000 338.010 47.610
75.000 337.685 47.935
76.000 335.276 50.344
77.000 322.661 62.959
78.000 319.359 66.260
79.000 318.908 66.712
80.000 321.827 63.793
81.000 321.746 63.874
82.000 329.970 55.638
83.000 336.098 49.522
84.000 333.538 52.082
85.000 333.306 52.313
86.000 329.831 55.789
87.000 328.372 57.248
88.000 325.070 60.550
89.000 321.989 63.631
90.000 321.120 64.500
91.000 318.108 67.512
92.000 315.247 70.373
93.000 312.397 73.222
94.000 312.293 73.327
95.000 309.617 76.003
96.000 310.335 75.284
97.000 314.784 70.836
98.000 330.225 55.395
99.000 331.187 54.433
100.000 331.743 53.877
101.000 330.735 54.873
102.000 330.098 55.522
103.000 327.908 57.711
104.000 327.260 58.360
105.000 326.727 58.893
106.000 322.325 63.295
107.000 322.753 62.866
108.000 317.460 68.160
109.000 318.016 67.604
110.000 315.548 67.732
111.000 333.179 54.781
112.000 334.245 51.375
113.000 334.372 51.248
114.000 333.422 52.198
115.000 332.658 52.962
116.000 330.063 55.557
117.000 329.715 55.904
118.000 327.167 58.453
119.000 326.935 58.685
